week,date,operation_unit,process_stage,region,orders_processed,orders_delayed,defects_count,avg_processing_time,customer_complaints,cost_per_order
2,2021-01-08,Warehouse A,delivery,North,5,500,0,1.61,400,533.66
2,2021-01-08,Warehouse A,order_processing,North,9,700,0,2.31,600,635.54
2,2021-01-08,Warehouse A,packaging,North,2,100,0,2.28,100,569.74
2,2021-01-08,Warehouse A,shipping,North,4,300,0,1.5,400,434.72
2,2021-01-08,Warehouse B,delivery,South,1,0,0,0.79,100,738.75
2,2021-01-08,Support Team,packaging,West,1,100,0,1.11,100,117.39
2,2021-01-08,Support Team,shipping,West,1,100,0,2.06,0,313.85
2,2021-01-08,Warehouse A,delivery,North,8,600,0,2.83,600,409.47
2,2021-01-08,Warehouse A,order_processing,North,7,500,0,2.29,600,605.41
2,2021-01-08,Warehouse A,packaging,North,3,200,0,1.64,200,407.85
2,2021-01-08,Warehouse A,shipping,North,4,300,0,1.13,300,525.56
2,2021-01-08,Support Team,order_processing,West,1,100,0,1.37,100,498.86
2,2021-01-08,Support Team,packaging,West,1,100,0,1.13,100,377.31
2,2021-01-08,Warehouse A,delivery,North,5,400,0,1.74,300,261.24
2,2021-01-08,Warehouse A,order_processing,North,8,400,0,2.83,600,457.63
2,2021-01-08,Warehouse A,packaging,North,2,200,0,3.01,100,522.3
2,2021-01-08,Warehouse A,shipping,North,7,600,0,2.91,600,561.36
2,2021-01-08,Support Team,delivery,West,2,200,0,2.2,200,168.12
2,2021-01-08,Support Team,order_processing,West,3,100,0,2.3,100,379.26
2,2021-01-08,Support Team,packaging,West,1,0,0,1.76,0,914.31
2,2021-01-08,Warehouse A,delivery,North,3,200,0,1.86,200,590.16
2,2021-01-08,Warehouse A,order_processing,North,11,1000,0,2.78,800,498.39
2,2021-01-08,Warehouse A,packaging,North,1,100,0,2.38,100,107.82
2,2021-01-08,Warehouse A,shipping,North,1,0,0,4.49,0,908.53
2,2021-01-08,Warehouse B,delivery,South,1,100,0,4.27,100,981.95
2,2021-01-08,Warehouse B,order_processing,South,1,100,0,0.51,100,460.31
2,2021-01-08,Support Team,order_processing,West,2,100,0,2.76,200,400.35
2,2021-01-08,Support Team,shipping,West,1,100,0,1.25,100,844.53
2,2021-01-08,Warehouse A,delivery,North,7,400,0,2.83,400,406.54
2,2021-01-08,Warehouse A,order_processing,North,5,500,0,2.51,300,478.22
2,2021-01-08,Warehouse A,packaging,North,1,0,0,4.03,100,208.71
2,2021-01-08,Warehouse A,shipping,North,6,600,0,2.13,400,570.29
2,2021-01-08,Warehouse B,order_processing,South,2,200,0,0.79,200,258.43
2,2021-01-08,Support Team,delivery,West,1,100,0,2.62,100,863.1
2,2021-01-08,Support Team,order_processing,West,1,0,0,0.52,100,249.52
2,2021-01-08,Support Team,shipping,West,1,100,0,0.52,100,653.75
2,2021-01-08,Warehouse A,delivery,North,3,200,0,2.94,200,163.39
2,2021-01-08,Warehouse A,order_processing,North,7,600,0,2.35,500,374.32
2,2021-01-08,Warehouse A,packaging,North,6,400,0,2.87,400,516.01
2,2021-01-08,Warehouse A,shipping,North,4,200,0,2.87,300,480.17
2,2021-01-08,Warehouse B,order_processing,South,1,100,0,2.58,100,358.1
2,2021-01-08,Support Team,delivery,West,1,100,0,1.49,100,100.02
2,2021-01-08,Support Team,packaging,West,1,100,0,4.92,0,125.29
2,2021-01-08,Warehouse A,delivery,North,2,200,0,2.37,200,154.6
2,2021-01-08,Warehouse A,order_processing,North,8,500,0,1.86,400,545.91
2,2021-01-08,Warehouse A,packaging,North,4,400,0,1.92,300,359.86
2,2021-01-08,Warehouse A,shipping,North,6,400,0,1.69,400,459.53
2,2021-01-08,Warehouse B,delivery,South,1,100,0,0.5,100,782.22
2,2021-01-08,Warehouse B,shipping,South,1,100,0,3.91,0,101.09
3,2021-01-15,Support Team,order_processing,West,1,100,0,0.63,0,236.8
3,2021-01-15,Warehouse A,delivery,North,7,700,0,2.73,400,384.52
3,2021-01-15,Warehouse A,order_processing,North,12,900,0,2.45,800,535.22
3,2021-01-15,Warehouse A,packaging,North,1,0,0,0.92,0,738.86
3,2021-01-15,Warehouse A,shipping,North,2,200,0,1.81,100,107.64
3,2021-01-15,Warehouse B,shipping,South,1,0,0,1.18,100,995.99
3,2021-01-15,Support Team,delivery,West,1,100,0,0.7,100,896.34
3,2021-01-15,Support Team,order_processing,West,2,100,0,4.87,100,538.62
3,2021-01-15,Support Team,packaging,West,1,0,0,3.62,100,550.87
3,2021-01-15,Support Team,shipping,West,1,0,0,2.18,100,259.8
3,2021-01-15,Warehouse A,delivery,North,6,300,0,1.76,400,562.79
3,2021-01-15,Warehouse A,order_processing,North,9,700,0,2.48,700,265.13
3,2021-01-15,Warehouse A,packaging,North,1,100,0,1.82,0,952.14
3,2021-01-15,Warehouse A,shipping,North,3,200,0,0.71,200,420.33
3,2021-01-15,Support Team,delivery,West,3,300,0,1.09,200,253.53
3,2021-01-15,Support Team,order_processing,West,1,100,0,0.5,0,103.86
3,2021-01-15,Support Team,shipping,West,1,100,0,4.36,0,661.4
3,2021-01-15,Warehouse A,delivery,North,7,400,0,2.69,600,534.1
3,2021-01-15,Warehouse A,order_processing,North,5,400,0,3.92,500,269.11
3,2021-01-15,Warehouse A,packaging,North,1,100,0,0.68,0,927.69
3,2021-01-15,Warehouse A,shipping,North,5,500,0,1.79,500,275.19
3,2021-01-15,Warehouse B,packaging,South,1,100,0,2.27,100,237.96
3,2021-01-15,Support Team,delivery,West,2,200,0,4.43,200,951.42
3,2021-01-15,Support Team,order_processing,West,1,100,0,4.98,0,119.3
3,2021-01-15,Support Team,packaging,West,1,100,0,1.23,100,979.77
3,2021-01-15,Support Team,shipping,West,1,100,0,3.67,100,106.54
3,2021-01-15,Warehouse A,delivery,North,7,700,0,2.25,300,385.71
3,2021-01-15,Warehouse A,order_processing,North,6,400,0,1.66,500,678.15
3,2021-01-15,Warehouse A,packaging,North,2,100,0,1.06,200,543.3
3,2021-01-15,Warehouse A,shipping,North,2,200,0,2.7,0,216.27
3,2021-01-15,Warehouse B,delivery,South,1,100,0,3.59,0,118.25
3,2021-01-15,Warehouse B,order_processing,South,1,100,0,0.76,100,437.12
3,2021-01-15,Support Team,packaging,West,1,100,0,1.11,100,835.94
3,2021-01-15,Support Team,shipping,West,1,0,0,0.84,100,133.89
3,2021-01-15,Warehouse A,delivery,North,7,500,0,3.72,400,509.27
3,2021-01-15,Warehouse A,order_processing,North,9,700,0,3.41,700,545.01
3,2021-01-15,Warehouse A,packaging,North,2,200,0,3.46,100,937.88
3,2021-01-15,Warehouse A,shipping,North,3,200,0,1.38,200,228.55
3,2021-01-15,Warehouse B,delivery,South,1,0,0,2.83,0,766.91
3,2021-01-15,Support Team,order_processing,West,1,100,0,1.4,100,580.42
3,2021-01-15,Support Team,shipping,West,2,100,0,1.47,200,258.1
3,2021-01-15,Warehouse A,delivery,North,4,200,0,2.98,200,347.69
3,2021-01-15,Warehouse A,order_processing,North,11,900,0,1.79,800,422.42
3,2021-01-15,Warehouse A,packaging,North,2,200,0,4.16,200,271.59
3,2021-01-15,Warehouse A,shipping,North,3,300,0,1.4,200,856.4
3,2021-01-15,Warehouse B,packaging,South,1,100,0,2.91,0,694.72
3,2021-01-15,Support Team,delivery,West,1,100,0,2.9,100,202.6
3,2021-01-15,Support Team,order_processing,West,2,100,0,3.94,200,205.51
3,2021-01-15,Support Team,shipping,West,1,100,0,4.04,100,423.52
3,2021-01-15,Warehouse A,delivery,North,5,300,0,1.98,400,364.25
3,2021-01-15,Warehouse A,order_processing,North,8,500,0,1.66,500,488.12
3,2021-01-15,Warehouse A,shipping,North,6,400,0,2.48,300,531.42
3,2021-01-15,Warehouse B,order_processing,South,1,100,0,3.94,100,864.55
4,2021-01-22,Support Team,order_processing,West,2,200,0,1.82,100,110.15
4,2021-01-22,Support Team,shipping,West,1,100,0,1.54,100,256.87
4,2021-01-22,Warehouse A,delivery,North,7,500,0,1.59,600,345.45
4,2021-01-22,Warehouse A,order_processing,North,6,400,0,1.83,400,407.97
4,2021-01-22,Warehouse A,packaging,North,3,100,0,2.5,0,593.95
4,2021-01-22,Warehouse A,shipping,North,2,200,0,3.0,200,439.04
4,2021-01-22,Warehouse B,delivery,South,1,100,0,2.21,100,801.15
4,2021-01-22,Warehouse B,order_processing,South,2,200,0,1.22,200,593.36
4,2021-01-22,Support Team,delivery,West,1,100,0,0.92,100,524.34
4,2021-01-22,Support Team,order_processing,West,1,100,0,0.59,0,101.59
4,2021-01-22,Support Team,packaging,West,1,0,0,0.63,0,106.49
4,2021-01-22,Support Team,shipping,West,1,100,0,0.7,100,627.77
4,2021-01-22,Warehouse A,delivery,North,4,400,0,1.88,300,262.4
4,2021-01-22,Warehouse A,order_processing,North,8,500,0,3.05,600,548.63
4,2021-01-22,Warehouse A,packaging,North,1,100,0,0.6,100,725.69
4,2021-01-22,Warehouse A,shipping,North,5,400,0,1.46,300,385.41
4,2021-01-22,Warehouse B,order_processing,South,2,0,0,0.77,100,242.48
4,2021-01-22,Support Team,delivery,West,1,0,0,4.77,0,707.24
4,2021-01-22,Support Team,order_processing,West,1,0,0,0.63,0,125.3
4,2021-01-22,Warehouse A,delivery,North,9,700,0,2.46,500,424.69
4,2021-01-22,Warehouse A,order_processing,North,5,400,0,2.64,400,352.26
4,2021-01-22,Warehouse A,packaging,North,4,400,0,3.05,200,361.32
4,2021-01-22,Warehouse A,shipping,North,3,300,0,3.09,200,143.85
4,2021-01-22,Warehouse B,packaging,South,1,100,0,2.5,100,702.25
4,2021-01-22,Support Team,delivery,West,2,200,0,1.65,200,706.49
4,2021-01-22,Support Team,order_processing,West,2,100,0,0.74,200,333.83
4,2021-01-22,Warehouse A,delivery,North,8,600,0,3.23,300,505.26
4,2021-01-22,Warehouse A,order_processing,North,4,400,0,2.74,200,450.19
4,2021-01-22,Warehouse A,packaging,North,4,400,0,2.26,200,417.17
4,2021-01-22,Warehouse A,shipping,North,4,300,0,1.98,200,720.32
4,2021-01-22,Support Team,delivery,West,1,100,0,1.9,100,100.0
4,2021-01-22,Support Team,order_processing,West,4,200,0,2.18,300,522.49
4,2021-01-22,Support Team,packaging,West,1,100,0,2.15,0,609.6
4,2021-01-22,Warehouse A,delivery,North,6,400,0,3.46,600,486.98
4,2021-01-22,Warehouse A,order_processing,North,6,300,0,1.45,500,467.41
4,2021-01-22,Warehouse A,packaging,North,3,200,0,2.18,200,983.75
4,2021-01-22,Warehouse A,shipping,North,2,200,0,4.49,100,815.11
4,2021-01-22,Warehouse B,order_processing,South,1,100,0,2.93,100,108.11
4,2021-01-22,Support Team,shipping,West,2,200,0,2.68,100,274.66
4,2021-01-22,Warehouse A,delivery,North,5,500,0,2.23,500,414.76
4,2021-01-22,Warehouse A,order_processing,North,11,700,0,2.58,700,580.34
4,2021-01-22,Warehouse A,packaging,North,3,300,0,1.86,200,491.69
4,2021-01-22,Warehouse A,shipping,North,2,100,0,0.91,0,288.02
4,2021-01-22,Warehouse B,delivery,South,1,0,0,1.9,100,188.9
4,2021-01-22,Support Team,delivery,West,4,400,0,1.21,200,782.84
4,2021-01-22,Support Team,packaging,West,1,100,0,2.2,100,353.42
4,2021-01-22,Support Team,shipping,West,1,100,0,0.51,100,997.32
4,2021-01-22,Warehouse A,delivery,North,6,500,0,1.4,300,174.05
4,2021-01-22,Warehouse A,order_processing,North,7,400,0,2.11,400,450.47
4,2021-01-22,Warehouse A,packaging,North,2,200,0,1.03,100,394.79
4,2021-01-22,Warehouse A,shipping,North,2,100,0,4.49,100,532.33
4,2021-01-22,Warehouse B,packaging,South,1,100,0,0.56,100,127.87
5,2021-01-29,Support Team,delivery,West,1,0,0,0.52,0,127.32
5,2021-01-29,Support Team,order_processing,West,3,300,0,3.55,300,254.83
5,2021-01-29,Support Team,shipping,West,1,0,0,1.53,100,197.03
5,2021-01-29,Warehouse A,delivery,North,5,500,0,1.25,300,170.6
5,2021-01-29,Warehouse A,order_processing,North,8,700,0,2.26,500,201.3
5,2021-01-29,Warehouse A,packaging,North,2,200,0,1.42,200,278.36
5,2021-01-29,Warehouse A,shipping,North,3,300,0,3.15,300,704.99
5,2021-01-29,Warehouse B,order_processing,South,1,100,0,1.49,100,102.76
5,2021-01-29,Support Team,delivery,West,2,200,0,2.63,200,451.9
5,2021-01-29,Support Team,order_processing,West,1,100,0,1.83,0,264.09
5,2021-01-29,Support Team,packaging,West,1,100,0,0.66,100,101.96
5,2021-01-29,Support Team,shipping,West,1,0,0,4.84,100,877.51
5,2021-01-29,Warehouse A,delivery,North,6,400,0,3.04,200,370.12
5,2021-01-29,Warehouse A,order_processing,North,4,300,0,2.29,400,352.61
5,2021-01-29,Warehouse A,packaging,North,5,400,0,1.34,200,675.52
5,2021-01-29,Warehouse A,shipping,North,4,400,0,3.19,400,303.61
5,2021-01-29,Support Team,delivery,West,2,100,0,0.6,100,672.16
5,2021-01-29,Support Team,order_processing,West,2,100,0,4.36,0,636.96
5,2021-01-29,Warehouse A,delivery,North,6,400,0,1.44,400,538.64
5,2021-01-29,Warehouse A,order_processing,North,12,900,0,2.21,600,628.95
5,2021-01-29,Warehouse A,packaging,North,2,100,0,3.84,100,196.35
5,2021-01-29,Support Team,delivery,West,1,100,0,4.14,100,468.54
5,2021-01-29,Support Team,order_processing,West,1,100,0,4.2,100,630.93
5,2021-01-29,Support Team,packaging,West,1,100,0,2.91,100,649.73
5,2021-01-29,Support Team,shipping,West,1,100,0,0.51,0,955.73
5,2021-01-29,Warehouse A,delivery,North,9,700,0,2.29,400,409.86
5,2021-01-29,Warehouse A,order_processing,North,6,500,0,2.69,400,536.8
5,2021-01-29,Warehouse A,packaging,North,1,100,0,3.09,100,446.77
5,2021-01-29,Warehouse A,shipping,North,3,200,0,1.97,200,174.34
5,2021-01-29,Warehouse B,shipping,South,1,100,0,0.83,0,490.93
5,2021-01-29,Support Team,packaging,West,1,100,0,0.54,100,976.66
5,2021-01-29,Support Team,shipping,West,1,0,0,1.03,100,997.12
5,2021-01-29,Warehouse A,delivery,North,11,800,0,1.53,700,303.34
5,2021-01-29,Warehouse A,order_processing,North,6,500,0,2.39,500,354.44
5,2021-01-29,Warehouse A,packaging,North,3,300,0,4.2,100,279.7
5,2021-01-29,Warehouse A,shipping,North,2,200,0,0.86,100,850.5
5,2021-01-29,Support Team,delivery,West,3,200,0,3.15,300,479.8
5,2021-01-29,Support Team,order_processing,West,1,100,0,0.5,0,102.31
5,2021-01-29,Support Team,packaging,West,1,0,0,2.72,100,636.03
5,2021-01-29,Support Team,shipping,West,1,100,0,4.2,100,102.32
5,2021-01-29,Warehouse A,delivery,North,2,200,0,0.57,200,823.68
5,2021-01-29,Warehouse A,order_processing,North,6,300,0,3.1,200,413.4
5,2021-01-29,Warehouse A,packaging,North,5,500,0,1.48,300,412.22
5,2021-01-29,Warehouse A,shipping,North,4,100,0,1.26,200,458.4
5,2021-01-29,Warehouse B,shipping,South,1,100,0,4.56,100,468.2
5,2021-01-29,Support Team,order_processing,West,2,200,0,3.44,0,705.42
5,2021-01-29,Support Team,shipping,West,1,100,0,0.73,0,530.05
5,2021-01-29,Warehouse A,delivery,North,7,500,0,3.55,600,334.63
5,2021-01-29,Warehouse A,order_processing,North,7,500,0,2.53,600,472.11
5,2021-01-29,Warehouse A,packaging,North,4,400,0,3.39,100,502.78
5,2021-01-29,Warehouse A,shipping,North,2,200,0,2.82,200,657.22
5,2021-01-29,Warehouse B,order_processing,South,1,100,0,0.6,100,136.14
6,2021-02-05,Support Team,delivery,West,1,100,0,0.52,0,367.35
6,2021-02-05,Warehouse A,delivery,North,5,300,0,1.53,300,512.33
6,2021-02-05,Warehouse A,order_processing,North,9,700,0,2.81,600,394.21
6,2021-02-05,Warehouse A,packaging,North,6,600,0,3.31,300,520.63
6,2021-02-05,Warehouse A,shipping,North,1,0,0,0.86,100,746.92
6,2021-02-05,Warehouse B,delivery,South,1,100,0,1.03,100,100.37
6,2021-02-05,Warehouse B,packaging,South,1,100,0,0.65,0,117.45
6,2021-02-05,Support Team,delivery,West,1,100,0,2.33,100,210.23
6,2021-02-05,Support Team,order_processing,West,2,100,0,3.82,200,557.44
6,2021-02-05,Warehouse A,delivery,North,8,600,0,2.28,700,315.69
6,2021-02-05,Warehouse A,order_processing,North,8,600,0,1.82,600,522.27
6,2021-02-05,Warehouse A,packaging,North,3,300,0,3.52,0,879.65
6,2021-02-05,Warehouse A,shipping,North,2,100,0,1.61,200,316.04
6,2021-02-05,Support Team,delivery,West,2,100,0,2.96,200,256.87
6,2021-02-05,Warehouse A,delivery,North,5,400,0,3.94,500,378.73
6,2021-02-05,Warehouse A,order_processing,North,12,1000,0,3.06,900,493.25
6,2021-02-05,Warehouse A,packaging,North,1,100,0,2.62,0,592.86
6,2021-02-05,Warehouse A,shipping,North,4,100,0,1.76,300,546.17
6,2021-02-05,Support Team,delivery,West,1,100,0,1.04,0,390.4
6,2021-02-05,Support Team,shipping,West,1,0,0,0.58,0,772.5
6,2021-02-05,Warehouse A,delivery,North,5,500,0,1.96,300,368.29
6,2021-02-05,Warehouse A,order_processing,North,9,800,0,2.41,800,395.39
6,2021-02-05,Warehouse A,packaging,North,2,0,0,2.74,100,661.93
6,2021-02-05,Warehouse A,shipping,North,5,400,0,2.98,400,523.33
6,2021-02-05,Warehouse B,order_processing,South,1,0,0,2.69,100,330.72
6,2021-02-05,Support Team,delivery,West,1,100,0,4.66,100,724.47
6,2021-02-05,Support Team,order_processing,West,1,0,0,3.58,0,113.87
6,2021-02-05,Warehouse A,delivery,North,8,600,0,2.75,500,539.84
6,2021-02-05,Warehouse A,order_processing,North,11,800,0,1.85,600,624.45
6,2021-02-05,Warehouse A,packaging,North,3,200,0,1.47,200,438.04
6,2021-02-05,Support Team,order_processing,West,4,400,0,1.35,300,561.39
6,2021-02-05,Warehouse A,delivery,North,6,400,0,2.44,400,327.56
6,2021-02-05,Warehouse A,order_processing,North,6,200,0,2.91,300,584.07
6,2021-02-05,Warehouse A,packaging,North,1,100,0,4.15,0,360.43
6,2021-02-05,Warehouse A,shipping,North,5,500,0,2.49,300,471.36
6,2021-02-05,Warehouse B,delivery,South,1,100,0,4.99,100,166.5
6,2021-02-05,Warehouse B,order_processing,South,1,100,0,0.5,100,622.36
6,2021-02-05,Support Team,order_processing,West,2,200,0,3.09,100,497.35
6,2021-02-05,Support Team,packaging,West,1,100,0,4.1,100,891.7
6,2021-02-05,Warehouse A,delivery,North,6,400,0,2.11,400,716.21
6,2021-02-05,Warehouse A,order_processing,North,6,500,0,1.39,400,689.44
6,2021-02-05,Warehouse A,packaging,North,2,100,0,1.5,100,470.83
6,2021-02-05,Warehouse A,shipping,North,6,300,0,2.27,500,309.23
6,2021-02-05,Warehouse B,order_processing,South,1,100,0,4.9,0,195.24
7,2021-02-12,Support Team,order_processing,West,3,200,0,2.78,200,453.48
7,2021-02-12,Warehouse A,delivery,North,9,800,0,1.88,500,383.42
7,2021-02-12,Warehouse A,order_processing,North,9,600,0,1.68,500,534.45
7,2021-02-12,Warehouse A,packaging,North,1,100,0,0.51,100,978.86
7,2021-02-12,Warehouse A,shipping,North,2,100,0,2.75,100,542.27
7,2021-02-12,Support Team,order_processing,West,1,0,0,3.8,100,596.04
7,2021-02-12,Warehouse A,delivery,North,2,200,0,0.65,200,798.72
7,2021-02-12,Warehouse A,order_processing,North,8,600,0,1.81,600,577.14
7,2021-02-12,Warehouse A,packaging,North,6,400,0,1.5,400,464.07
7,2021-02-12,Warehouse A,shipping,North,6,200,0,2.05,200,458.17
7,2021-02-12,Warehouse B,delivery,South,1,100,0,0.54,0,739.95
7,2021-02-12,Support Team,delivery,West,1,100,0,4.78,100,981.94
7,2021-02-12,Support Team,order_processing,West,2,200,0,2.61,200,367.86
7,2021-02-12,Support Team,packaging,West,1,100,0,0.64,100,100.0
7,2021-02-12,Warehouse A,delivery,North,5,400,0,1.71,300,514.83
7,2021-02-12,Warehouse A,order_processing,North,9,500,0,1.84,500,386.11
7,2021-02-12,Warehouse A,packaging,North,4,200,0,2.8,300,393.15
7,2021-02-12,Warehouse A,shipping,North,2,200,0,2.66,100,248.48
7,2021-02-12,Support Team,order_processing,West,2,0,0,2.56,200,913.67
7,2021-02-12,Warehouse A,delivery,North,8,400,0,1.54,500,549.91
7,2021-02-12,Warehouse A,order_processing,North,7,600,0,2.45,600,632.08
7,2021-02-12,Warehouse A,packaging,North,5,500,0,1.71,300,353.38
7,2021-02-12,Warehouse A,shipping,North,2,200,0,1.54,200,522.12
7,2021-02-12,Warehouse A,delivery,North,10,1000,0,2.57,800,378.34
7,2021-02-12,Warehouse A,order_processing,North,7,600,0,3.11,600,458.2
7,2021-02-12,Warehouse A,packaging,North,3,300,0,2.72,200,450.46
7,2021-02-12,Warehouse A,shipping,North,3,300,0,2.2,100,277.83
7,2021-02-12,Warehouse B,order_processing,South,1,100,0,4.29,100,100.27
7,2021-02-12,Support Team,shipping,West,1,100,0,0.78,100,891.46
7,2021-02-12,Warehouse A,delivery,North,7,500,0,1.59,400,451.93
7,2021-02-12,Warehouse A,order_processing,North,10,800,0,2.73,700,447.82
7,2021-02-12,Warehouse A,packaging,North,4,300,0,3.19,100,438.69
7,2021-02-12,Warehouse A,shipping,North,2,100,0,2.97,200,375.75
7,2021-02-12,Support Team,delivery,West,1,100,0,0.5,100,114.42
7,2021-02-12,Warehouse A,delivery,North,7,500,0,2.02,600,464.97
7,2021-02-12,Warehouse A,order_processing,North,8,600,0,2.15,800,579.24
7,2021-02-12,Warehouse A,packaging,North,5,500,0,2.25,300,406.84
7,2021-02-12,Warehouse A,shipping,North,2,100,0,2.74,200,568.98
7,2021-02-12,Warehouse B,order_processing,South,1,100,0,1.99,100,839.77
8,2021-02-19,Support Team,delivery,West,1,100,0,0.78,0,416.99
8,2021-02-19,Support Team,shipping,West,1,100,0,0.51,0,771.77
8,2021-02-19,Warehouse A,delivery,North,6,500,0,1.52,400,350.51
8,2021-02-19,Warehouse A,order_processing,North,11,700,0,2.19,700,520.43
8,2021-02-19,Warehouse A,packaging,North,1,100,0,4.99,100,107.78
8,2021-02-19,Warehouse A,shipping,North,3,200,0,2.01,100,233.93
8,2021-02-19,Warehouse B,packaging,South,1,100,0,2.47,0,153.02
8,2021-02-19,Support Team,delivery,West,1,100,0,4.43,100,100.47
8,2021-02-19,Support Team,order_processing,West,2,100,0,2.13,100,651.02
8,2021-02-19,Support Team,packaging,West,1,0,0,1.52,100,337.88
8,2021-02-19,Warehouse A,delivery,North,10,800,0,2.15,700,394.1
8,2021-02-19,Warehouse A,order_processing,North,10,600,0,1.86,800,396.47
8,2021-02-19,Support Team,order_processing,West,2,100,0,2.61,200,923.73
8,2021-02-19,Support Team,packaging,West,1,0,0,1.24,100,587.91
8,2021-02-19,Warehouse A,delivery,North,9,700,0,2.09,500,545.06
8,2021-02-19,Warehouse A,order_processing,North,3,200,0,1.3,300,488.05
8,2021-02-19,Warehouse A,packaging,North,2,200,0,2.83,0,541.27
8,2021-02-19,Warehouse A,shipping,North,4,400,0,3.57,100,535.1
8,2021-02-19,Warehouse B,delivery,South,1,0,0,2.04,100,982.29
8,2021-02-19,Warehouse B,order_processing,South,1,0,0,4.6,100,170.66
8,2021-02-19,Warehouse B,packaging,South,1,0,0,4.67,100,509.23
8,2021-02-19,Support Team,delivery,West,3,100,0,3.05,300,559.37
8,2021-02-19,Support Team,order_processing,West,1,0,0,4.58,0,123.91
8,2021-02-19,Warehouse A,delivery,North,5,300,0,1.43,200,394.04
8,2021-02-19,Warehouse A,order_processing,North,7,500,0,2.07,600,493.42
8,2021-02-19,Warehouse A,packaging,North,2,100,0,1.48,200,639.69
8,2021-02-19,Warehouse A,shipping,North,6,100,0,2.53,400,505.34
8,2021-02-19,Support Team,delivery,West,3,300,0,2.38,300,488.78
8,2021-02-19,Support Team,order_processing,West,1,100,0,4.95,100,210.81
8,2021-02-19,Warehouse A,delivery,North,5,500,0,2.76,300,268.26
8,2021-02-19,Warehouse A,order_processing,North,9,700,0,1.76,600,455.63
8,2021-02-19,Warehouse A,packaging,North,4,300,0,2.18,400,379.99
8,2021-02-19,Warehouse A,shipping,North,1,0,0,2.97,100,145.88
8,2021-02-19,Warehouse B,order_processing,South,1,0,0,0.57,100,133.55
